country,code,year,trade_openness,gdp_per_capita,population,labour_productivity,schooling,democracy,region,urban_pct,life_expectancy,log_gdp_pc,log_population,log_productivity
Slovakia,SVK,2019,183.72261,37209.535,5450627,36.973423,13.14,0.844,Europe,53.366657,77.6863,10.524320324621897,15.511241205893718,3.6101993572478213
Slovenia,SVN,2019,160.04428,44569.586,2083438,49.558193,12.06,0.812,Europe,55.452328,81.007,10.704806977138206,14.549529971782489,3.9031475952407
Solomon Islands,SLB,2019,82.998566,2661.6167,728156,NA,NA,0.63,Oceania,27.275106,69.9807,7.886688999105983,13.498270589937205,NA
Somalia,SOM,2019,70.29806,1491.2949,16030969,NA,NA,0.151,Africa,51.642117,57.2494,7.307400081927846,16.59003297191659,NA
South Africa,ZAF,2019,53.897995,14352.67,59587880,20.568027,10.47,0.721,Africa,63.412727,66.0711,9.571691266598016,17.902962755651306,3.023737782681513
South Korea,KOR,2019,71.44706,49790.867,51767844,49.544704,13.68,0.852,Asia,81.29011,83.6846,10.81558685261979,17.7622797422701,3.9028753731262786
Spain,ESP,2019,66.36623,46896.418,47435121,62.680885,11.51,0.872,Europe,79.63498,83.4794,10.755696576251108,17.67487346166493,4.138056536724455
Sri Lanka,LKA,2019,49.425526,14637.444,22410552,19.115978,10.33,0.558,Asia,19.494633,76.698,9.591338182108732,16.925042477334525,2.950524529846867
Sudan,SDN,2019,26.119621,3625.5232,45548179,9.076358,4.38,0.199,Africa,34.472767,65.8032,8.195753887908536,17.634281202824994,2.2056730108289644
Sweden,SWE,2019,92.75114,61601.63,10279120,80.12736,11.93,0.902,Europe,87.70884,83.0518,11.028443610210484,16.1456252112143,4.383617368785234
Switzerland,CHE,2019,124.12761,79596.7,8577525,93.04306,12.97,0.906,Europe,80.77929,83.7804,11.284727913686664,15.964655968312652,4.533062396749541
Syria,SYR,2019,41.99947,4825.4062,20353536,12.47723,7.92,0.137,Asia,73.82488,70.9701,8.481650196758096,16.828765213972254,2.5239053831773917
Tajikistan,TJK,2019,56.045017,3649.8838,9529970,7.820909,10.12,0.166,Asia,26.130074,70.962,8.202450610453335,16.0699521276716,2.056800788211034
Tanzania,TZA,2019,33.01859,3484.6326,59174889,3.7469046,6.87,0.385,Africa,33.347527,66.0068,8.156117894394736,17.89600783757042,1.320930059119135
Thailand,THA,2019,109.689514,21277.84,71522264,17.634335,9.32,0.206,Asia,55.926617,77.1967,9.965421434544327,18.085519343809494,2.86984785387579
Togo,TGO,2019,56.342175,2577.516,8463070,NA,7.68,0.399,Africa,41.445732,61.0554,7.854581423437319,15.95122254991663,NA
Tonga,TON,2019,88.04539,6858.839,105688,NA,11.42,NA,NA,22.328815,72.292,8.833293464414384,11.56824663655819,NA
Tunisia,TUN,2019,102.33261,13243.902,11875084,18.072878,9.29,0.721,Africa,68.82064,75.5992,9.491292499062594,16.28995298154417,2.8944123614295667
Turkey,TUR,2019,62.57846,28741.053,85357670,49.21171,8.49,0.293,Asia,88.66181,77.737,10.266081797792728,18.262360868427773,3.896131603308902
Turkmenistan,TKM,2019,44.28576,15231.306,6803943,18.085407,NA,0.149,Asia,47.049458,69.4046,9.631108194018378,15.733012855037755,2.895105369989095
Uganda,UGA,2019,39.361053,2689.4102,42999636,4.8846607,6.69,0.3,Africa,27.836979,66.3537,7.897077192050086,17.57670220850573,1.586099825559431
Ukraine,UKR,2019,90.51124,17636.555,44957451,18.405897,10.82,0.525,Europe,69.35277,73.9199,9.777729015703692,17.621227067102637,2.9126711023997034
